"111849","Marne la Vallée Chessy","19 ans et moins","0.38","2013"
"111849","Marne la Vallée Chessy","20 ans à 29 ans","2.68","2013"
"111849","Marne la Vallée Chessy","30 ans à 39 ans","4.4","2013"
"111849","Marne la Vallée Chessy","40 ans à 49 ans","4.02","2013"
"111849","Marne la Vallée Chessy","50 ans à 59 ans","2.05","2013"
"111849","Marne la Vallée Chessy","60 ans et plus","1.69","2013"
"111849","Marne la Vallée Chessy","Non communiqué","84.8","2013"
"113001","Paris Est","19 ans et moins","7.94","2012"
"113001","Paris Est","20 ans à 29 ans","23.7","2012"
"113001","Paris Est","30 ans à 39 ans","17.5","2012"
"113001","Paris Est","40 ans à 49 ans","16.9","2012"
"113001","Paris Est","50 ans à 59 ans","14.2","2012"
"113001","Paris Est","60 ans et plus","7.7","2012"
"113001","Paris Est","Non communiqué","12.2","2012"
"145678","Paris Bercy","19 ans et moins","1.8900000000000001","2012"
"145678","Paris Bercy","20 ans à 29 ans","18.7","2012"
"145678","Paris Bercy","30 ans à 39 ans","21.1","2012"
"145678","Paris Bercy","40 ans à 49 ans","23.8","2012"
"145678","Paris Bercy","50 ans à 59 ans","17.6","2012"
"145678","Paris Bercy","60 ans et plus","16.9","2012"
"171009","Reims","19 ans et moins","23.1","2016"
"171009","Reims","20 ans à 29 ans","24.9","2016"
"171009","Reims","30 ans à 39 ans","14.3","2016"
"171009","Reims","40 ans à 49 ans","14.9","2016"
"171009","Reims","50 ans à 59 ans","13.0","2016"
"171009","Reims","60 ans et plus","9.75","2016"
"212027","Strasbourg","19 ans et moins","8.12","2010"
"212027","Strasbourg","19 ans et moins","21.6","2016"
"212027","Strasbourg","20 ans à 29 ans","18.0","2010"
"212027","Strasbourg","20 ans à 29 ans","26.5","2016"
"212027","Strasbourg","30 ans à 39 ans","7.67","2010"
"212027","Strasbourg","30 ans à 39 ans","14.8","2016"
"212027","Strasbourg","40 ans à 49 ans","8.33","2010"
"212027","Strasbourg","40 ans à 49 ans","14.6","2016"
"212027","Strasbourg","50 ans à 59 ans","6.72","2010"
"212027","Strasbourg","50 ans à 59 ans","13.5","2016"
"212027","Strasbourg","60 ans et plus","6.65","2010"
"212027","Strasbourg","60 ans et plus","9.0","2016"
"212027","Strasbourg","Non communiqué","44.5","2010"
"223263","Lille Europe","19 ans et moins","5.94","2013"
"223263","Lille Europe","20 ans à 29 ans","25.7","2013"
"223263","Lille Europe","30 ans à 39 ans","20.4","2013"
"223263","Lille Europe","40 ans à 49 ans","18.7","2013"
"223263","Lille Europe","50 ans à 59 ans","16.3","2013"
"223263","Lille Europe","60 ans et plus","12.6","2013"
"223263","Lille Europe","Non communiqué","0.29","2013"
"271007","Paris Nord","19 ans et moins","5.44","2012"
"271007","Paris Nord","20 ans à 29 ans","26.1","2012"
"271007","Paris Nord","30 ans à 39 ans","20.6","2012"
"271007","Paris Nord","40 ans à 49 ans","16.6","2012"
"271007","Paris Nord","50 ans à 59 ans","11.7","2012"
"271007","Paris Nord","60 ans et plus","5.01","2012"
"271007","Paris Nord","Non communiqué","14.6","2012"
"271494","Aéroport Charles de Gaulle 2 TGV","19 ans et moins","0.93","2013"
"271494","Aéroport Charles de Gaulle 2 TGV","20 ans à 29 ans","6.58","2013"
"271494","Aéroport Charles de Gaulle 2 TGV","30 ans à 39 ans","7.55","2013"
"271494","Aéroport Charles de Gaulle 2 TGV","40 ans à 49 ans","5.8","2013"
"271494","Aéroport Charles de Gaulle 2 TGV","50 ans à 59 ans","4.48","2013"
"271494","Aéroport Charles de Gaulle 2 TGV","60 ans et plus","3.9","2013"
"271494","Aéroport Charles de Gaulle 2 TGV","Non communiqué","70.8","2013"
"286005","Lille Flandres","19 ans et moins","15.3","2013"
"286005","Lille Flandres","20 ans à 29 ans","32.1","2013"
"286005","Lille Flandres","30 ans à 39 ans","15.9","2013"
"286005","Lille Flandres","40 ans à 49 ans","15.9","2013"
"286005","Lille Flandres","50 ans à 59 ans","13.1","2013"
